musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder
Aliy Zirkle,31,3/4 22:29:00,16,3/5 02:00:00,16,3h 31m,3h 38m,3/4 18:51:00,8.26,Skwentna,2018-03-04T22:29:00Z,2018-03-05T02:00:00Z,2018-03-04T18:51:00Z,218,211,0,0,8,15
Matt Hall,15,3/5 01:54:00,16,3/5 02:02:00,16,0h 8m,7h 4m,3/4 18:50:00,4.25,Skwentna,2018-03-05T01:54:00Z,2018-03-05T02:02:00Z,2018-03-04T18:50:00Z,424,8,0,0,44,11
Charley Bejna,38,3/4 22:25:00,16,3/5 02:09:00,16,3h 44m,3h 11m,3/4 19:14:00,9.42,Skwentna,2018-03-04T22:25:00Z,2018-03-05T02:09:00Z,2018-03-04T19:14:00Z,191,224,0,0,7,35
Andy Pohl,12,3/5 02:03:00,16,3/5 02:10:00,16,0h 7m,7h 32m,3/4 18:31:00,3.98,Skwentna,2018-03-05T02:03:00Z,2018-03-05T02:10:00Z,2018-03-04T18:31:00Z,452,7,0,0,45,37
Jessie Royer,36,3/5 02:03:00,16,3/5 02:14:00,16,0h 11m,6h 53m,3/4 19:10:00,4.36,Skwentna,2018-03-05T02:03:00Z,2018-03-05T02:14:00Z,2018-03-04T19:10:00Z,413,11,0,0,46,16
Tom Knolmayer,43,3/5 02:05:00,16,3/5 02:14:00,16,0h 9m,6h 48m,3/4 19:17:00,4.41,Skwentna,2018-03-05T02:05:00Z,2018-03-05T02:14:00Z,2018-03-04T19:17:00Z,408,9,0,0,47,32
Hugh Neff,68,3/4 23:29:00,16,3/5 02:17:00,16,2h 48m,3h 14m,3/4 20:15:00,9.28,Skwentna,2018-03-04T23:29:00Z,2018-03-05T02:17:00Z,2018-03-04T20:15:00Z,194,168,0,0,20,21
Meredith Mapes,16,3/5 02:15:00,16,3/5 02:19:00,16,0h 4m,3h 8m,3/4 23:07:00,9.57,Skwentna,2018-03-05T02:15:00Z,2018-03-05T02:19:00Z,2018-03-04T23:07:00Z,188,4,0,0,48,49
Larry Daugherty,14,3/5 02:31:00,15,3/5 02:40:00,15,0h 9m,7h 51m,3/4 18:40:00,3.82,Skwentna,2018-03-05T02:31:00Z,2018-03-05T02:40:00Z,2018-03-04T18:40:00Z,471,9,0,0,50,40
Jeff Deeter,45,3/5 02:45:00,16,3/5 02:53:00,16,0h 8m,7h 0m,3/4 19:45:00,4.29,Skwentna,2018-03-05T02:45:00Z,2018-03-05T02:53:00Z,2018-03-04T19:45:00Z,420,8,0,0,52,43
Lars Monsen,61,3/4 22:52:00,16,3/5 02:56:00,15,4h 4m,3h 7m,3/4 19:45:00,9.63,Skwentna,2018-03-04T22:52:00Z,2018-03-05T02:56:00Z,2018-03-04T19:45:00Z,187,244,1,0,13,20
Allen Moore,26,3/4 23:03:00,16,3/5 03:06:00,16,4h 3m,3h 5m,3/4 19:58:00,9.73,Skwentna,2018-03-04T23:03:00Z,2018-03-05T03:06:00Z,2018-03-04T19:58:00Z,185,243,0,0,16,NA
Martin Buser,28,3/4 23:21:00,16,3/5 03:10:00,16,3h 49m,2h 53m,3/4 20:28:00,10.4,Skwentna,2018-03-04T23:21:00Z,2018-03-05T03:10:00Z,2018-03-04T20:28:00Z,173,229,0,0,18,28
Rob Cooke,10,3/5 03:04:00,16,3/5 03:12:00,16,0h 8m,8h 4m,3/4 19:00:00,3.72,Skwentna,2018-03-05T03:04:00Z,2018-03-05T03:12:00Z,2018-03-04T19:00:00Z,484,8,0,0,57,NA
Ketil Reitan,54,3/4 23:33:00,16,3/5 03:15:00,16,3h 42m,3h 5m,3/4 20:28:00,9.73,Skwentna,2018-03-04T23:33:00Z,2018-03-05T03:15:00Z,2018-03-04T20:28:00Z,185,222,0,0,21,14
